,ClusterGenes,HitGenes,GO_term,depth,p_value
151,"['LOS1', 'KTI12', 'CGR1', 'ATC1', 'BUD21', 'PUS7', 'YNL022C', 'XKS1', 'MRT4', 'AIR1', 'DPB4', 'SAP185', 'YGR283C', 'SOL1', 'RPA34', 'SRP40', 'NOP12', 'PUF6', 'YPR127W', 'CAR2', 'REX4', 'YJR003C', 'EMI2', 'COG5', 'YGL010W', 'MUB1', 'TRM10', 'TMA16', 'NUC1', 'ASI2', 'YOL092W', 'PPH3', 'RSA3', 'HGH1', 'YJL068C']","['850918', '853860', '854075']",GO:0042255,6,0.052899167
152,"['MTO1', 'CLN2', 'GIC1', 'CSI2', 'CLN1', 'PTM1', 'YOX1']","['855819', '856458', '854981', '855239']",GO:0000278,4,0.009171243
153,"['MTO1', 'CLN2', 'GIC1', 'CSI2', 'CLN1', 'PTM1', 'YOX1']","['855819', '856458', '855239']",GO:0030234,3,0.024942995
154,"['MTO1', 'CLN2', 'GIC1', 'CSI2', 'CLN1', 'PTM1', 'YOX1']","['855819', '856458', '855239']",GO:0051726,4,0.024942995
155,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0006997,5,0.03033095
156,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0005815,5,0.03033095
157,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0008092,4,0.03033095
158,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0048284,5,0.03033095
159,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0000746,4,0.038929935
160,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263', '855870', '856533']",GO:0016787,3,0.047246195
161,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0007059,3,0.074388859
162,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0005856,5,0.074388859
163,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0048285,5,0.074388859
164,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0007010,5,0.074388859
165,"['ECM14', 'THI21', 'ATR1', 'CIK1', 'AGC1', 'KAR3']","['855238', '856263']",GO:0051726,4,0.074388859
